ProductID,ProductName,Category,Price,InStock,Supplier
1001,Laptop Pro X,Electronics,1299.99,Yes,TechCorp
1002,Wireless Headphones,Electronics,149.99,Yes,AudioTech
1003,Smart Watch,Electronics,299.99,No,TechCorp
1004,Coffee Maker,Home Appliances,89.99,Yes,HomeGoods
1005,Blender,Home Appliances,59.99,Yes,KitchenPlus
1006,Yoga Mat,Fitness,29.99,Yes,FitLife
1007,Dumbbells Set,Fitness,119.99,No,FitLife
1008,Office Chair,Furniture,199.99,Yes,OfficePro
1009,Desk Lamp,Home Decor,45.99,Yes,LightingCo
1010,Backpack,Accessories,79.99,Yes,TravelGear 